,Text,Offensive,Hate
0,الحمدلله يارب فوز مهم يا زمالك.. كل الدعم ليكم يا رجالة ⚪🔴<LF>الدوري يا زمالك .. الدوري يا زمالك<LF>#صدارة_بس,NOT_OFF,NOT_HS
1,فدوه يا بخت فدوه يا زمن واحد منكم يجيبه,NOT_OFF,NOT_HS
2,RT @USER: يا رب يا واحد يا أحد بحق يوم الاحد ان تهلك بني سعود المجرمين. لاجل اطفال اليمن شاركوا.,OFF,HS
3,RT @USER: #هوا_الحرية يا وجع قلبي عليكي يا امي...<LF>الله لا يحرق قلبك ويكسر بخاطرك للمرة الف نقف إجلال لعظمة وقدرة لين قلب الأم ال…,NOT_OFF,NOT_HS
4,يا بكون بحياتك الأهم يا إما ما بدي أكون 🎼,NOT_OFF,NOT_HS
5,@USER اخخ يا قلببي يا هالحلقه 😩😭♥️ متعه على بكاء على حماس كل المشاعر داخله ببعض,NOT_OFF,NOT_HS
6,والله الزول السوداني أثبت أنه سابق بالتحضّر عن كل العرب:<LF>٤٠٪ التمثيل النسائي في المجلس التشريعي السوداني ما بعد الثورة. <LF>الكلام إلك يا جارة لتسمعي يا كنّة!<LF>#السودان #سوريا #الجزائر,NOT_OFF,NOT_HS
7,"RT @USER: جالس أسمع أحمد قاسم يغني: ""أحبك من كل قلبي يا بلادي يا يمن"". حتى أنا والله أحب اليمن من كل قلبي أحب بلادي من طرفها لطرفها ""ب…",NOT_OFF,NOT_HS
8,في قلبي يا مغلاك<LF>وبعيني يا محلاك ..,NOT_OFF,NOT_HS
9,يا التاج ع الراس يا السادة<LF>يا مالك الروح وراعيها❤️,NOT_OFF,NOT_HS
10,RT @USER: @USER البراب عندى بيقولى بيخيروك يا كرتونة يا خمسين جنيه واستأذن يروح ياخد كرتونة 😁,NOT_OFF,NOT_HS
11,أموتُ شوقاً ولا ألقاكُمُ أبداً .. يا حسرتا ثمّ يا شوقا و يا أسَفا,NOT_OFF,NOT_HS
12,@USER @USER @USER يا لطيف.. يا ساتر ..أحمدوا ربكم إنها مستقعدة🌚كيف لو إنها واقفه👌,OFF,NOT_HS
13,@USER يا مريوووم كل سنة و انتي طيبة يا قلبي و يا رب دايما مبسوطة كدا و عقبال العمر كله يا قمر لاڤ يو ♥️♥️♥️♥️,NOT_OFF,NOT_HS
14,هلا يا حبي الاول<LF>هلا يا غايتي مشتااااااق,NOT_OFF,NOT_HS
